Mass Shift	Total PSMs	Annotation	Alt Annot	Localised	Localised %	Mean Chrom	Mean Sol	Top Residue	Enrichment
-25.0316	1196	Unannotated mass-shift -25.0316	NA	1104	92.3	151.75	147.25	C	23.3
31.9902	903	dihydroxy	NA	883	97.8	127.75	98	W	108.2
14.016	748	Methylation	NA	740	98.9	99	88	R	3.4
3.9948	592	tryptophan oxidation to kynurenin	NA	523	88.3	83.5	64.5	W	113.7
17.0264	553	deuterated methyl ester	NA	12	2.2	81.25	57	NA	NA
-9.037	302	Unannotated mass-shift -9.0370	NA	294	97.4	45.25	30.25	C	28.3
37.9464	294	Replacement of proton by potassium	NA	266	90.5	40.25	33.25	L	1.7
56.0632	239	Diethylation, analogous to Dimethylation	NA	223	93.3	33	26.75	R	4.7
42.011	196	Acetylation	NA	182	92.9	32.5	16.5	M	27
23.9576	200	Replacement of 3 protons by aluminium	NA	175	87.5	30.75	19.25	D	3.8
42.0468	181	tri-Methylation/Propyl	NA	179	98.9	27.5	17.75	K	3.4
234.112	109	Unannotated mass-shift 234.1120	NA	107	98.2	24.75	2.5	R	14.4
1.3886	182	Unannotated mass-shift 0.0782	Unannotated mass-shift 1.3056	0	0	23.75	21.75	NA	NA
