Gene	Observed Modifications	Fraction	PSM_count
H4C1	Mod1: Dehydration/Pyro-glu from E (PeakApex: -18.0106, Theoretical: -18.0106)	Chromatin	98
H4C1	Mod1: Formylation (PeakApex: 27.9950, Theoretical: 27.9949)	Chromatin	97
H2BC13	Mod1: Formylation (PeakApex: 27.9950, Theoretical: 27.9949)	Chromatin	61
H2BC13	Mod1: Pyro-glu from Q/Loss of ammonia (PeakApex: -17.0262, Theoretical: -17.0265)	Chromatin	61
H1-1	Mod1: Replacement of 3 protons by iron (PeakApex: 52.9116, Theoretical: 52.9115)	Chromatin	53
H2BC13	Mod1: Dehydration/Pyro-glu from E (PeakApex: -18.0106, Theoretical: -18.0106)	Chromatin	50
H4C1	Mod1: Acetaldehyde +26 (PeakApex: 26.0160, Theoretical: 26.0157)	Chromatin	44
H2BC13	Mod1: Replacement of 2 protons by iron (PeakApex: 53.9196, Theoretical: 53.9193)	Chromatin	40
H2BC13	Mod1: First isotopic peak (PeakApex: 1.0036, Theoretical: 1.0024)	Chromatin	30
H4C1	Mod1: Pyro-glu from Q/Loss of ammonia (PeakApex: -17.0262, Theoretical: -17.0265)	Chromatin	30
H1-4	Mod1: Phosphorylation (PeakApex: 79.9666, Theoretical: 79.9663); Mod1: O-Sulfonation (Theoretical: 79.9568)	Chromatin	29
H1-2	Mod1: Replacement of 3 protons by iron (PeakApex: 52.9116, Theoretical: 52.9115)	Chromatin	28
H4C1	Mod1: Deletion of G, Mod2: Sodium adduct (PeakApex: -35.0370)	Chromatin	28
H4C1	Mod1: First isotopic peak (PeakApex: 1.0036, Theoretical: 1.0024)	Chromatin	28
H1-1	Mod1: Formylation (PeakApex: 27.9950, Theoretical: 27.9949)	Chromatin	27
H2BC13	Mod1: di-Methylation/Acetaldehyde +28/Ethylation (PeakApex: 28.0316, Theoretical: 28.0313)	Chromatin	26
H4C1	Mod1: Replacement of 3 protons by iron (PeakApex: 52.9116, Theoretical: 52.9115)	Chromatin	26
H2BC13	Mod1: Sodium adduct (PeakApex: 21.9816, Theoretical: 21.9819); Mod1: glyoxal-derived AGE (Theoretical: 21.9844)	Chromatin	23
H2BC13	Mod1: Acetaldehyde +26 (PeakApex: 26.0160, Theoretical: 26.0157)	Chromatin	21
H2BC13	Mod1: Deamidation (PeakApex: 0.9838, Theoretical: 0.9840)	Chromatin	21
H2BC13	Mod1: Unannotated mass-shift 48.9156 (PeakApex: 48.9156)	Chromatin	21
H4C1	Mod1: di-Methylation/Acetaldehyde +28/Ethylation (PeakApex: 28.0316, Theoretical: 28.0313)	Chromatin	20
H1-1	Mod1: Dehydration/Pyro-glu from E (PeakApex: -18.0106, Theoretical: -18.0106)	Chromatin	19
H4C1	Mod1: Formylation (PeakApex: 27.9950, Theoretical: 27.9949); Mod1: Unannotated mass-shift 28.0062 (PeakApex: 28.0062)	Chromatin	18
H2BC13	Mod1: Deamidation (PeakApex: 0.9838, Theoretical: 0.9840); Mod1: Deamidation (PeakApex: 0.9742)	Chromatin	17
H2BC13	Mod1: Replacement of 3 protons by iron (PeakApex: 52.9116, Theoretical: 52.9115)	Chromatin	17
H1-2	Mod1: Formylation (PeakApex: 27.9950, Theoretical: 27.9949)	Chromatin	15
H2BC13	Mod1: Succinic anhydride labeling reagent, heavy form (+4amu, 4H2), N-term & K (PeakApex: 104.0470, Theoretical: 104.0412)	Chromatin	14
H4C1	Mod1: Unannotated mass-shift -25.0316, Mod2: Unannotated mass-shift -27.0110 (PeakApex: -52.0372)	Chromatin	14
H1-4	Mod1: Acetylation (PeakApex: 42.0110, Theoretical: 42.0106)	Chromatin	13
